id,batch,batch__name,employer_name,employer_logo_url,number,gross_total,job_title
4759,25,Dec 16-31 2021 Network Fees,DataCamp (551),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/fa/f8/faf8adff8ccdb5fe63f970476595ee6e.png,551-13,1344.0,Software Engineer (JS/TypeScript)
5107,25,Dec 16-31 2021 Network Fees,Stanley Black & Decker (141),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/13/d2/13d2b0e8048908e5f39501150d6d7675.png,141-239,400.0,Front End Developer - React/Javascript
5106,25,Dec 16-31 2021 Network Fees,Etsy (409),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/ad/df/addfb6cc6101842f35b3f3867633773d.png,409-12,442.5,"""Senior Product Designer, Buyer Onboarding (W2 or Contract) | Etsy"""
5105,25,Dec 16-31 2021 Network Fees,Medable (262),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/58/08/58082f30358b3efc181a455b33184db7.png,262-93,440.0,Sr. Interaction Designer
5104,25,Dec 16-31 2021 Network Fees,Nestle (102),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/94/12/9412b276e9bfe5511d0fceaab680f0eb.png,102-17,1728.0,Senior Cloud Security Engineer / Architect
5103,25,Dec 16-31 2021 Network Fees,First Republic Bank (287),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/04/95/0495fe5e5c03fbe30e11cccfb16a6901.png,287-21,540.0,Sr Data Engineer
5102,25,Dec 16-31 2021 Network Fees,Nortal Information Technology Solutions LLC (335),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/07/71/0771ae39fd258e96e9840bb9c2538b82.png,335-45,1040.0,Senior Product Owner
5101,25,Dec 16-31 2021 Network Fees,Nortal Information Technology Solutions LLC (335),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/07/71/0771ae39fd258e96e9840bb9c2538b82.png,335-43,1235.0,Product Manager
5100,25,Dec 16-31 2021 Network Fees,TaskRabbit (16),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/52/46/5246a6ad3c76a6e72b08b2c53d12e8e5.png,16-272,260.0,Sr. Front End Developer - React Native
5099,25,Dec 16-31 2021 Network Fees,Guardian Life (282),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/b3/a2/b3a205588c5a2ffc2c6bc0890526e43a.png,282-133,480.0,"""Senior Software Engineer (full-stack C#, Angular, CSS) (contract to hire)"""
5098,25,Dec 16-31 2021 Network Fees,Sifchain (187),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/c3/61/c361cc8e90ae3b56b30eb8242dfdd646.png,187-192,730.72,Software Engineer (Test Focus)
5097,25,Dec 16-31 2021 Network Fees,Med'Advisors (507),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/3c/54/3c54ee9d83b2f6e367d46aaa4aa391eb.png,507-5,72.21,Digital Marketer
5096,25,Dec 16-31 2021 Network Fees,TaskRabbit (16),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/52/46/5246a6ad3c76a6e72b08b2c53d12e8e5.png,16-274,480.0,Senior React Native Engineer
